Year,Department,Publications,Research Time
2016,COM,62,9.56
2017,COM,61,8.34
2018,COM,59,8.8
2019,COM,64,10.03
2020,COM,89,14.36
2021,COM,74,17.54
2016,SCA,78,5.17
2017,SCA,84,5.7
2018,SCA,89,8.35
2019,SCA,60,8.08
2020,SCA,68,7.86
2021,SCA,60,6.88
2016,ORG,85,18.95
2017,ORG,92,14.47
2018,ORG,102,18.13
2019,ORG,85,20.58
2020,ORG,80,23.55
2021,ORG,86,25.2
2016,PSPA,142,16.6
2017,PSPA,118,13.7
2018,PSPA,87,12.32
2019,PSPA,89,12.8
2020,PSPA,125,14.27
2021,PSPA,69,11.84
2016,SOC,137,25.8
2017,SOC,166,27.56
2018,SOC,146,32.18
2019,SOC,127,27.67
2020,SOC,151,29.91
2021,SOC,145,32.03
