Opleiding,Total,Afdeling
B Bestuurs- en Organisatiewetenschap,493,B&P / ORG
B Communicatiewetenschap,188,CW
B Communication Science,131,CW
B Cultural Anthropology and Dev. Soc.,142,SCA
B Culturele Antropologie en Ontw. Soc.,69,SCA
B Political Science,152,B&P
B Politicologie,205,B&P
B Sociologie,171,SOC
"M Beleid, Communicatie en Organisatie",212,ORG
M Bestuurskunde,296,B&P
M Communicatiewetenschap,152,CW
"M Culture, Organization and Management",128,ORG
M Political Science,159,B&P
M Social and Cultural Anthropology,36,SCA
M Societal Resilience (research),19,B&P / ORG /SCA/CW/SOC
M Sociologie,81,SOC
"P Beleid, Communicatie en Organisatie",99,ORG
P Bestuurskunde,66,B&P
P Communicatiewetenschap,79,CW
P Culture Organization and Management,21,ORG
P Political Science,29,B&P
P Social and Cultural Anthropology,24,SCA
P Sociologie,34,SOC
